               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 115,            0.025154,            0.045652,           0.0079358,             0.81507,             0.77127,             0.81408,             0.54212,             0.03593,            0.079498,            0.017408,            0.002476,            0.002476,            0.002476
                 116,            0.023612,            0.044935,           0.0063832,             0.79322,              0.7743,             0.81559,             0.55372,            0.034903,            0.079376,            0.017595,             0.00241,             0.00241,             0.00241
                 117,            0.023477,             0.04693,           0.0070843,             0.81159,             0.74021,             0.81439,             0.55187,            0.035095,            0.080276,             0.01788,            0.002344,            0.002344,            0.002344
                 118,            0.024876,            0.044354,           0.0072921,             0.76373,             0.77132,             0.80385,             0.55133,            0.034812,            0.080276,            0.018073,            0.002278,            0.002278,            0.002278
                 119,            0.024236,            0.046359,             0.00776,             0.74493,             0.79116,             0.80134,             0.53881,            0.035497,            0.080292,            0.018449,            0.002212,            0.002212,            0.002212
                 120,            0.025393,            0.048323,           0.0073841,             0.73704,             0.78883,             0.79595,             0.55168,             0.03441,            0.079819,            0.018534,            0.002146,            0.002146,            0.002146
                 121,            0.023654,            0.047072,           0.0075544,             0.81272,             0.72238,              0.7913,             0.53813,            0.034539,            0.080551,            0.018665,             0.00208,             0.00208,             0.00208
                 122,            0.024473,            0.042917,           0.0075208,             0.81818,             0.72505,             0.79226,             0.53673,             0.03425,            0.080429,            0.018761,            0.002014,            0.002014,            0.002014
                 123,            0.024936,            0.046877,           0.0074577,             0.81551,             0.73739,               0.793,             0.53784,            0.034431,             0.08107,            0.018679,            0.001948,            0.001948,            0.001948
                 124,            0.024738,            0.045773,           0.0074552,             0.81043,             0.73932,             0.79641,             0.53098,            0.034736,            0.080643,             0.01862,            0.001882,            0.001882,            0.001882
                 125,            0.022994,             0.04717,            0.007254,             0.75081,             0.78543,             0.80441,             0.54253,            0.035141,            0.081146,             0.01803,            0.001816,            0.001816,            0.001816
                 126,            0.025079,            0.048182,           0.0075004,             0.76256,             0.78654,             0.80056,             0.54585,            0.034878,            0.080521,            0.017784,             0.00175,             0.00175,             0.00175
                 127,            0.023195,            0.044527,           0.0074828,              0.7431,             0.84399,             0.81168,             0.54814,            0.035215,            0.078186,            0.017522,            0.001684,            0.001684,            0.001684
                 128,            0.023486,            0.045569,           0.0068882,             0.75191,              0.8313,             0.81479,              0.5544,            0.034864,            0.078064,            0.017533,            0.001618,            0.001618,            0.001618
                 129,            0.023056,            0.044996,           0.0075686,             0.81581,             0.78817,             0.81812,             0.56546,            0.034543,            0.077591,            0.017253,            0.001552,            0.001552,            0.001552
                 130,            0.021868,            0.041482,           0.0067518,             0.81635,             0.80779,             0.82093,             0.56465,               0.035,             0.07756,            0.017007,            0.001486,            0.001486,            0.001486
                 131,            0.023252,            0.046591,           0.0075434,              0.8139,             0.78898,              0.8207,             0.56212,            0.034985,            0.078552,            0.016612,             0.00142,             0.00142,             0.00142
                 132,            0.023932,            0.044406,           0.0065864,             0.79894,             0.81875,              0.8229,              0.5738,            0.034486,            0.077377,            0.016529,            0.001354,            0.001354,            0.001354
                 133,             0.02254,            0.044872,             0.00798,             0.80205,             0.79427,             0.82386,             0.57131,            0.034481,             0.07756,            0.016478,            0.001288,            0.001288,            0.001288
                 134,             0.02329,            0.043118,           0.0071886,              0.8017,               0.793,              0.8233,             0.56965,            0.034506,            0.077454,            0.016556,            0.001222,            0.001222,            0.001222
                 135,            0.022811,            0.043153,           0.0068344,             0.78243,             0.80572,             0.82328,             0.57691,            0.034298,            0.077789,            0.016636,            0.001156,            0.001156,            0.001156
                 136,            0.021887,            0.043201,           0.0076406,             0.78572,             0.80884,             0.82202,             0.56822,            0.034417,            0.077713,            0.016884,             0.00109,             0.00109,             0.00109
                 137,            0.023603,            0.045416,            0.007988,             0.79138,             0.81712,             0.81935,             0.57193,            0.034007,            0.077377,             0.01702,            0.001024,            0.001024,            0.001024
                 138,            0.023613,            0.048276,           0.0069227,             0.78983,             0.82026,             0.81966,             0.56687,            0.033999,            0.077713,            0.017101,            0.000958,            0.000958,            0.000958
                 139,            0.022133,            0.045283,            0.006854,             0.77707,             0.81375,              0.8199,             0.56781,            0.033929,            0.077896,            0.017301,            0.000892,            0.000892,            0.000892
                 140,             0.02385,            0.046352,           0.0076779,             0.79393,             0.77506,             0.81438,             0.56529,            0.033941,            0.078232,              0.0174,            0.000826,            0.000826,            0.000826
                 141,            0.021663,            0.045284,           0.0063944,              0.7727,             0.81541,             0.81821,             0.56718,            0.033814,             0.07843,            0.017258,             0.00076,             0.00076,             0.00076
                 142,            0.022205,            0.044724,            0.006805,              0.8246,             0.77358,              0.8175,              0.5689,             0.03384,            0.078812,            0.017205,            0.000694,            0.000694,            0.000694
                 143,             0.02226,            0.043029,           0.0069752,             0.76855,             0.82244,             0.81396,             0.56237,            0.033849,              0.0793,            0.017114,            0.000628,            0.000628,            0.000628
                 144,            0.021716,            0.046515,            0.006966,              0.8196,             0.77083,             0.81392,             0.56339,            0.033997,            0.079407,            0.017205,            0.000562,            0.000562,            0.000562
                 145,            0.023426,            0.043426,           0.0069698,             0.81723,             0.77608,             0.81038,             0.56483,            0.033944,            0.079361,            0.017207,            0.000496,            0.000496,            0.000496
                 146,            0.022107,            0.043588,           0.0064016,             0.81636,             0.77972,             0.81068,             0.56322,            0.033969,            0.079453,            0.017215,             0.00043,             0.00043,             0.00043
                 147,            0.023631,            0.047194,           0.0070158,              0.8173,             0.76785,             0.81071,             0.56046,            0.034055,            0.079239,            0.017338,            0.000364,            0.000364,            0.000364
                 148,             0.02197,            0.044136,           0.0063404,             0.81337,             0.76166,             0.80952,             0.56375,             0.03408,            0.079086,            0.017346,            0.000298,            0.000298,            0.000298
                 149,            0.022525,            0.045574,           0.0080792,             0.80238,             0.75885,             0.80983,             0.56299,            0.034058,            0.079041,            0.017426,            0.000232,            0.000232,            0.000232
